horizon,batch_size,num_seeds,good_success_probability,bad_success_probability,num_distractor_actions,num_rollouts,seed,mc_seed,rmse
8,200,30,0.8,0.2,2,256,1,1007922,0.02726519827522449
8,200,30,0.8,0.2,2,256,2,1015841,0.027655932753300482
8,200,30,0.8,0.2,2,256,3,1023760,0.032390857244856
8,200,30,0.8,0.2,2,256,4,1031679,0.035546579883733734
8,200,30,0.8,0.2,2,256,5,1039598,0.030514820187879706
8,200,30,0.8,0.2,2,256,6,1047517,0.033550969762757794
8,200,30,0.8,0.2,2,256,7,1055436,0.04286726741181956
8,200,30,0.8,0.2,2,256,8,1063355,0.04840013601110595
8,200,30,0.8,0.2,2,256,9,1071274,0.04527786509707606
8,200,30,0.8,0.2,2,256,10,1079193,0.03365444643931488
8,200,30,0.8,0.2,2,256,11,1087112,0.03132312611107194
8,200,30,0.8,0.2,2,256,12,1095031,0.0315927854969925
8,200,30,0.8,0.2,2,256,13,1102950,0.033605954814208285
8,200,30,0.8,0.2,2,256,14,1110869,0.02620876161097013
8,200,30,0.8,0.2,2,256,15,1118788,0.03755920822267764
8,200,30,0.8,0.2,2,256,16,1126707,0.03789686643182474
8,200,30,0.8,0.2,2,256,17,1134626,0.04039924691886382
8,200,30,0.8,0.2,2,256,18,1142545,0.03576565998387319
8,200,30,0.8,0.2,2,256,19,1150464,0.03356122948996247
8,200,30,0.8,0.2,2,256,20,1158383,0.035471137550423935
8,200,30,0.8,0.2,2,256,21,1166302,0.04206674884802226
8,200,30,0.8,0.2,2,256,22,1174221,0.03505483963187117
8,200,30,0.8,0.2,2,256,23,1182140,0.031733322930000356
8,200,30,0.8,0.2,2,256,24,1190059,0.030945322608320117
8,200,30,0.8,0.2,2,256,25,1197978,0.031423013492940785
8,200,30,0.8,0.2,2,256,26,1205897,0.040290156833535706
8,200,30,0.8,0.2,2,256,27,1213816,0.04125964427681855
8,200,30,0.8,0.2,2,256,28,1221735,0.0446101189599742
8,200,30,0.8,0.2,2,256,29,1229654,0.03924129005543578
8,200,30,0.8,0.2,2,1024,0,1000003,0.01521420831296027
8,200,30,0.8,0.2,2,1024,1,1007922,0.019619247565350634
8,200,30,0.8,0.2,2,1024,2,1015841,0.017268934666256806
8,200,30,0.8,0.2,2,1024,3,1023760,0.01983178806963558
8,200,30,0.8,0.2,2,1024,4,1031679,0.018403520469153962
8,200,30,0.8,0.2,2,1024,5,1039598,0.016074771987460747
8,200,30,0.8,0.2,2,1024,6,1047517,0.020410947647448465
8,200,30,0.8,0.2,2,1024,7,1055436,0.01949982212670212
8,200,30,0.8,0.2,2,1024,8,1063355,0.013454846563297193
8,200,30,0.8,0.2,2,1024,9,1071274,0.016460365781555367
8,200,30,0.8,0.2,2,1024,10,1079193,0.018598596918858106
8,200,30,0.8,0.2,2,1024,11,1087112,0.019827077875527073
8,200,30,0.8,0.2,2,1024,12,1095031,0.014352719828748276
8,200,30,0.8,0.2,2,1024,13,1102950,0.017691690440558003
8,200,30,0.8,0.2,2,1024,14,1110869,0.012990222298274241
8,200,30,0.8,0.2,2,1024,15,1118788,0.019007036788295465
8,200,30,0.8,0.2,2,1024,16,1126707,0.0168129564528208
8,200,30,0.8,0.2,2,1024,17,1134626,0.015728349306541028
8,200,30,0.8,0.2,2,1024,18,1142545,0.015018736740150883
8,200,30,0.8,0.2,2,1024,19,1150464,0.01714673844177586
8,200,30,0.8,0.2,2,1024,20,1158383,0.01894008918410899
8,200,30,0.8,0.2,2,1024,21,1166302,0.02075800692948557
8,200,30,0.8,0.2,2,1024,22,1174221,0.020864744031201258
8,200,30,0.8,0.2,2,1024,23,1182140,0.01726887253818948
8,200,30,0.8,0.2,2,1024,24,1190059,0.019966837688450263
8,200,30,0.8,0.2,2,1024,25,1197978,0.017857680993827143
8,200,30,0.8,0.2,2,1024,26,1205897,0.01553964954953148
8,200,30,0.8,0.2,2,1024,27,1213816,0.017404161694378098
8,200,30,0.8,0.2,2,1024,28,1221735,0.019104196565771742
8,200,30,0.8,0.2,2,1024,29,1229654,0.023827699751264336
